ASSOCIATIONTYPE,FROMFEATURECLASS,FROMASSETGROUP,FROMASSETTYPE,FROMGLOBALID,FROMTERMINAL,TOFEATURECLASS,TOASSETGROUP,TOASSETTYPE,TOGLOBALID,TOTERMINAL,ISCONTENTVISIBLE
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{3A17C7D9-DDB6-4A4D-B8A4-BC3FC6450C7E},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{CA2403AD-BBC9-4AB2-91A7-8D23E35969B6},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{73CB6BC2-A19D-4ECB-B0BA-1B380A39101C},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{3595F97B-E689-4823-8DD8-AAE5036A2348},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{29C432AB-02AA-4AF4-A67B-4192109E6A29},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{3595F97B-E689-4823-8DD8-AAE5036A2348},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{05D942CA-3994-4F87-93D8-C28DF372E8F5},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{3595F97B-E689-4823-8DD8-AAE5036A2348},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{0D154610-6B7C-434A-8998-8BCDD49D4434},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{187EFD7B-D550-4983-8FBA-CAE18774FD31},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{58CAE7CF-BF9D-47D4-88A6-604E36524CB4},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{187EFD7B-D550-4983-8FBA-CAE18774FD31},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{760CD5F7-B3AD-4B35-A933-A0C257B19189},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{187EFD7B-D550-4983-8FBA-CAE18774FD31},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{7FF730B0-7467-40D5-B435-82D87DE83A2E},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{7A2C67DD-3649-44FE-842B-62AD935E84EE},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{19119255-6F94-4D26-A704-A775CB6C9C50},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{7A2C67DD-3649-44FE-842B-62AD935E84EE},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{BD010AD2-8717-4DD1-940A-9C518BE34D2D},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{7A2C67DD-3649-44FE-842B-62AD935E84EE},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{92313C5D-8E78-4563-90AD-EB4ECF5A758F},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{DA64B25B-20BB-40C2-96D3-126DA91A9217},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{ADB919AD-56CE-4BE5-BEA6-22970CBF7590},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{DA64B25B-20BB-40C2-96D3-126DA91A9217},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{1C4F48B7-9016-4304-8A95-3D37C2F37EBC},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{DA64B25B-20BB-40C2-96D3-126DA91A9217},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{7521CEC7-D96A-4AEA-B863-4B7782E66523},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Single Phase Line End,{F2FD8F46-E0BF-4AA1-AA1A-9F8AC9322991},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{C7F4A029-1666-48FE-B6D9-8C1F8FEE9397},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{B452A8BF-31E0-443B-88B5-B89B67F58B6E},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{A98048EE-31B0-4D70-8298-99ECEE9CBA3C},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{21AF7FFA-6068-4FF6-9084-D7EDC3E66B71},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{A957DC3F-E745-49EC-B214-9C03E6CD8050},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{CE982669-CF72-4B78-997A-FA39B16D8B6A},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{38AC6E9A-EA48-4FE0-83EA-E24D7F347DEA},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{21AF7FFA-6068-4FF6-9084-D7EDC3E66B71},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{A21E1979-B7AF-4864-9066-F56E2FEBE0C0},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{FC42FB58-BD59-405D-83B0-7A9218A34999},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{DA2FAC04-ECF6-4AC9-8684-A3AEF6F299AD},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{CE982669-CF72-4B78-997A-FA39B16D8B6A},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{BD27FF17-AA60-4EF0-AFF9-09B3FB5A064A},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{18658305-DC0E-453C-B240-870811AF659E},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{DF22E9BE-8276-43C8-AC50-C1E928DAFF86},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{FC42FB58-BD59-405D-83B0-7A9218A34999},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{D12E8525-50B7-43C9-8F51-126C9B9FFB86},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{0D377A1C-83E2-4BBA-B6DE-529B68079EA8},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Arrester,Medium Voltage Line Arrester,{BD5268C6-4700-4B84-A633-D096DA2AA683},Single Terminal,ElectricDistributionJunction,Connection Point,Medium Voltage Attachment,{A2686247-3D4F-46CD-AE3E-C90E96D6E95D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Arrester,Medium Voltage Line Arrester,{EDB00111-2A68-4D57-878A-879402D83337},Single Terminal,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{8C5AB8F3-8A8F-42E5-8B83-393E71E5BE2E},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Arrester,Medium Voltage Line Arrester,{EB8DAD5B-DB86-4437-8C63-D85803748A32},Single Terminal,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{CFC721D4-9B19-4408-81D5-D8753682705A},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Arrester,Medium Voltage Line Arrester,{D35F840F-B9CF-4B08-A498-0D3927722889},Single Terminal,ElectricDistributionDevice,Switch,Overhead Medium Voltage Three Phase Disconnect,{5947BEB7-3424-4A05-9775-852AF5477EFF},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Arrester,Medium Voltage Line Arrester,{F2FC8B0A-6462-4375-8327-C96EB158EB2C},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{0F7E63B7-BB38-48FE-A9AC-06B0D0CABD38},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Cabinet Fuse,{0B68B6EE-E785-4102-9427-A990249EE874},Single Terminal,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{92FF9C9B-081C-4601-8071-583AA28A8338},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Cabinet Fuse,{B5932394-DF1E-4CD5-93DD-1C9A2C790C1C},Single Terminal,ElectricDistributionJunction,Connection Point,Medium Voltage Attachment,{E7B95ABB-63FD-4C1D-9A3F-2C306C2E7954},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{A5981CD9-648B-4E2E-A81A-7CACB4A8466E},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{BEA44C6A-865B-4088-8AB6-63E97CE97E80},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{96C51DC3-A237-4966-B0EB-298CF6573B7C},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{18658305-DC0E-453C-B240-870811AF659E},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Non Load Breaking,{5F13C8A6-3243-49E1-8E8A-D9BB6B56039F},Single Terminal,ElectricDistributionJunction,Connection Point,Medium Voltage Attachment,{3188859F-394C-4D60-8E94-45791BD339D4},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Non Load Breaking,{EE7787AA-D837-49B6-B099-F2EFD54A66F5},Single Terminal,ElectricDistributionJunction,Riser,Medium Voltage Three Phase,{BAD86E0D-427D-4070-919B-055621A7011D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{0636F84F-EFA3-4202-A2E2-C56B2DE2F3FF},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{591B9A2F-A9E0-41F1-9DB0-C711DB88A498},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{36C1A6FC-E1F7-47E0-9A68-C05F6B8B0BBE},Single Terminal,ElectricDistributionJunction,Connection Point,Medium Voltage Attachment,{F689B6CE-D95B-4643-8808-2214114530DF},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{901A86EF-1662-4004-A3A6-305C8A28A8A7},Single Terminal,ElectricDistributionJunction,Connection Point,Medium Voltage Attachment,{3FBCC5F6-7373-416D-A30C-BD9BE4FDF4C7},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{D124129C-ACB0-44E3-8A15-9D971D30DED9},Single Terminal,ElectricDistributionJunction,Connection Point,Medium Voltage Attachment,{39D84A84-AC1D-44FD-A404-9BD3E14E1DC5},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{9AE29DC6-0375-44CF-B0A6-1EED03E5B05E},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{7101C745-D6BB-49F6-9C00-921F1F773633},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{D09952A5-E6DA-4A14-B28F-ED06CA960932},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{A0B9EAA4-F8BA-4B71-900B-268F94291318},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{7F6205AF-45CB-4AC9-800C-E1B25503F5A0},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{BD677AC2-F8B8-4DAD-AF26-52EB8203A5AE},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{BB10FD64-60C0-46C2-AD92-7C8B7E0D8030},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{D74FEDF3-E5E4-45D8-AE19-AD828A1FCF62},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{08635DA0-E691-4192-98DA-254754EB0670},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{E9E09EE7-B9E6-44E6-9549-B8D774F9DE85},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{2F44233D-42B6-41C2-B150-7015FA4D7213},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{1A6E944F-6AEC-4661-B8B4-1C63EEBB029D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{185FB3E9-6DB2-4BA3-BCDF-E94C5D99FD1B},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{54371C13-CBA5-444D-9F34-E6F9DBCCA4A4},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{CDE47DB6-8B50-4F40-B443-583ABAB03186},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{0572C31A-A43F-464F-B929-F748EA5F036A},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{6F683D29-B593-4D15-90DA-19F60F0D0FB8},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{BF482D37-0AD9-4CE8-9556-12EAF2608A97},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{D46F2EC8-3829-4EB3-9509-599600E536EF},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{81AE0451-FAAE-4B51-818A-C5625CFC0BE6},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{F9336CF8-5B3D-4DA6-9214-FCE8941C4606},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{52E04C95-5784-42AF-9589-8EB8C4579F3D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{62CB4E69-15DC-49BD-8C3A-1045D3C43D03},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{058C65E4-5054-4E79-877D-E7EBED5D32E5},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{2B9C89AF-AC16-4A6C-8217-AE2E49616B57},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{5A88801F-F7D2-411C-A4D2-602F38829950},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{52D2B3D8-0BFC-4BF6-95F2-08C9CB77A4EA},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{DDE72219-B792-4C46-AEE0-6C59D7C44A50},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{C4F05FAE-3C94-45D1-9B0A-8FE48216AFB0},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{3872557A-0B3F-4F05-99BB-E32F797695A0},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{253778F2-42F0-4148-9DA0-D688B3AA62A6},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{D05B6041-A54D-42E0-B854-41B00FD93322},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{A23C8AAA-CEB7-4043-8970-D37D0B93D6DB},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{68AFDB94-1EE6-4D31-8C7E-CD48EE1C9D4F},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{8FF1432F-B883-4C2A-93F3-0FEAA54E680A},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{68AFDB94-1EE6-4D31-8C7E-CD48EE1C9D4F},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{799A1642-85E9-45B5-A527-AAF08335EA83},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{690DF516-0DAD-4B73-B62C-47498EA2BF68},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{131C9892-2EEF-4DE4-9B65-83B391D583C7},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Disconnect,{B7D7F1C5-D9C0-4BDF-BE68-981CBE6341FE},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{219B77B6-D2C6-42C3-AA80-D6A318DE18C4},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Load Breaking,{93A4F403-B46F-4D2E-A74B-868961DED2BB},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Underground Three Phase Load Break Elbow,{5B36CD81-6A41-4298-AB19-FBE43B17D053},Single Terminal,ElectricDistributionDevice,Switch,Underground Medium Voltage Three Phase Load Breaking,{00166A14-AE4D-4DD3-9C04-25E12FA973D8},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Arrester,Medium Voltage Line Arrester,{FDEC6AC6-2118-4236-A785-D2232AF79564},Single Terminal,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{90836F9E-FA43-42F1-A443-1D9CBC269971},Single Terminal,
